X	Y	Elevation
0	0	0.01
1	0	0.01
2	0	0.01
3	0	0.01
4	0	0.01
5	0	0.01
6	0	0.01
7	0	0.01
8	0	0.01
9	0	0.01
10	0	0.01
11	0	0.01
12	0	0.01
13	0	0.01
14	0	0.01
15	0	0.01
16	0	0.01
17	0	0.01
18	0	0.01
19	0	0.01
20	0	0.01
21	0	0.01
22	0	0.01
23	0	0.01
24	0	0.01
25	0	0.01
26	0	0.01
27	0	0.01
28	0	0.01
29	0	0.01
30	0	0.01
31	0	0.01
32	0	0.01
33	0	0.01
34	0	0.01
35	0	0.01
36	0	0.01
37	0	0.01
38	0	0.01
39	0	0.01
40	0	0.01
41	0	0.01
42	0	0.01
43	0	0.01
44	0	0.01
45	0	0.01
46	0	0.01
47	0	0.01
48	0	0.01
49	0	0.01
50	0	0.01
51	0	0.01
52	0	0.01
53	0	0.01
54	0	0.01
55	0	0.01
56	0	0.01
57	0	0.01
58	0	0.01
59	0	0.01
60	0	0.01
61	0	0.01
62	0	0.01
63	0	0.01
64	0	0.01
65	0	0.01
66	0	0.01
67	0	0.01
68	0	0.01
69	0	0.01
70	0	0.01
71	0	0.01
72	0	0.01
73	0	0.01
74	0	0.01
75	0	0.01
76	0	0.01
77	0	0.01
78	0	0.01
79	0	0.01
80	0	0.01
81	0	0.01
82	0	0.01
83	0	0.01
84	0	0.01
85	0	0.01
86	0	0.01
87	0	0.01
88	0	0.01
89	0	0.01
90	0	0.01
91	0	0.01
92	0	0.01
93	0	0.01
94	0	0.01
95	0	0.01
96	0	0.01
97	0	0.01
98	0	0.01
99	0	0.01
100	0	0.01
101	0	0.01
102	0	0.01
103	0	0.01
104	0	0.01
105	0	0.01
106	0	0.01
107	0	0.01
108	0	0.01
109	0	0.01
110	0	0.01
111	0	0.01
112	0	0.01
113	0	0.01
114	0	0.01
115	0	0.01
116	0	0.01
117	0	0.01
118	0	0.01
119	0	0.01
120	0	0.01
121	0	0.01
122	0	0.01
123	0	0.01
124	0	0.01
125	0	0.01
126	0	0.01
127	0	0.01
128	0	0.01
129	0	0.01
130	0	0.01
131	0	0.01
132	0	0.01
133	0	0.01
134	0	0.01
135	0	0.01
136	0	0.01
137	0	0.01
138	0	0.01
139	0	0.01
140	0	0.01
141	0	0.01
142	0	0.01
143	0	0.01
144	0	0.01
145	0	0.01
146	0	0.01
147	0	0.01
148	0	0.01
149	0	0.01
0	1	0.02
1	1	0.02
2	1	0.02
3	1	0.02
4	1	0.02
5	1	0.02
6	1	0.02
7	1	0.02
8	1	0.02
9	1	0.02
10	1	0.02
11	1	0.02
12	1	0.02
13	1	0.02
14	1	0.02
15	1	0.02
16	1	0.02
17	1	0.02
18	1	0.02
19	1	0.02
20	1	0.02
21	1	0.02
22	1	0.02
23	1	0.02
24	1	0.02
25	1	0.02
26	1	0.02
27	1	0.02
28	1	0.02
29	1	0.02
30	1	0.02
31	1	0.02
32	1	0.02
33	1	0.02
34	1	0.02
35	1	0.02
36	1	0.02
37	1	0.02
38	1	0.02
39	1	0.02
40	1	0.02
41	1	0.02
42	1	0.02
43	1	0.02
44	1	0.02
45	1	0.02
46	1	0.02
47	1	0.02
48	1	0.02
49	1	0.02
50	1	0.02
51	1	0.02
52	1	0.02
53	1	0.02
54	1	0.02
55	1	0.02
56	1	0.02
57	1	0.02
58	1	0.02
59	1	0.02
60	1	0.02
61	1	0.02
62	1	0.02
63	1	0.02
64	1	0.02
65	1	0.02
66	1	0.02
67	1	0.02
68	1	0.02
69	1	0.02
70	1	0.02
71	1	0.02
72	1	0.02
73	1	0.02
74	1	0.02
75	1	0.02
76	1	0.02
77	1	0.02
78	1	0.02
79	1	0.02
80	1	0.02
81	1	0.02
82	1	0.02
83	1	0.02
84	1	0.02
85	1	0.02
86	1	0.02
87	1	0.02
88	1	0.02
89	1	0.02
90	1	0.02
91	1	0.02
92	1	0.02
93	1	0.02
94	1	0.02
95	1	0.02
96	1	0.02
97	1	0.02
98	1	0.02
99	1	0.02
100	1	0.02
101	1	0.02
102	1	0.02
103	1	0.02
104	1	0.02
105	1	0.02
106	1	0.02
107	1	0.02
108	1	0.02
109	1	0.02
110	1	0.02
111	1	0.02
112	1	0.02
113	1	0.02
114	1	0.02
